(array([[20.63476974, 19.54454111,  3.76272727]]), array([[25.23976974, 19.54454111,  3.76272727]]))
(array([[11.99999702, 32.97899565,  3.86      ]]), array([[11.99999702, 34.52099565,  3.86      ]]))
(array([[21.38499702, 19.41499565,  3.86      ]]), array([[21.38499702, 10.82499565,  3.86      ]]))
(array([[20.84449423, 31.41176214,  3.81862069]]), array([[20.84449423, 35.61680252,  3.81862069]]))
(array([[16.8675    , 10.84999565,  3.76666667]]), array([[16.8675    , 16.865     ,  3.76666667]]))
(array([[10.11999697,  8.28      ,  3.76      ]]), array([[10.11999697, 10.01002217,  3.76      ]]))
(array([[10.13249697,  3.015     ,  3.76666667]]), array([[10.13249697,  0.1       ,  3.76666667]]))
(array([[5.23999702, 8.0875    , 3.76666667]]), array([[9.94499697, 8.0875    , 3.76666667]]))
(array([[4.87999702, 8.0875    , 3.76666667]]), array([[0.1       , 8.0875    , 3.76666667]]))
(array([[5.05999702, 8.275     , 3.76      ]]), array([[ 5.05999702, 10.08502217,  3.76      ]]))
(array([[12.21499702, 31.52471326,  8.58      ]]), array([[12.21499702, 24.77071326,  8.58      ]]))
(array([[11.81999702, 31.59995528,  8.16      ]]), array([[23.75999702, 31.59995528,  8.16      ]]))
(array([[23.83499702, 31.59995528,  8.55      ]]), array([[25.35499706, 31.59995528,  8.55      ]]))
(array([[11.99999702, 36.07499565,  8.53      ]]), array([[11.99999702, 31.74995528,  8.53      ]]))
(array([[ 5.07843452, 10.08627217,  8.40125   ]]), array([[5.07843452, 8.10125   , 8.40125   ]]))
(array([[25.53499702, 19.54999565,  3.766     ]]), array([[30.28499702, 19.54999565,  3.766     ]]))
(array([[20.83999702, 24.59999565,  3.772     ]]), array([[30.51499702, 24.59999565,  3.772     ]]))
(array([[20.83999702, 31.59995528,  3.772     ]]), array([[25.29499706, 31.59995528,  3.772     ]]))
(array([[10.11999697, 10.035     ,  8.55      ]]), array([[10.11999697,  8.095     ,  8.55      ]]))
(array([[10.01999697,  8.0875    ,  8.22666667]]), array([[5.19999702, 8.0875    , 8.22666667]]))
(array([[16.775     ,  8.0875    ,  8.22666667]]), array([[10.36999697,  8.0875    ,  8.22666667]]))
(array([[4.84499702, 8.0875    , 8.22666667]]), array([[0.025     , 8.0875    , 8.22666667]]))
(array([[20.83999702, 24.59995528,  8.486     ]]), array([[30.51499702, 24.59995528,  8.486     ]]))
(array([[12.21499702, 24.49449932,  8.58      ]]), array([[12.21499702, 16.73049932,  8.58      ]]))
(array([[16.88 , 16.795,  8.486]]), array([[16.88      , 10.87999565,  8.486     ]]))
(array([[23.57999702, 13.01249566,  8.396     ]]), array([[23.57999702,  8.1925    ,  8.396     ]]))
(array([[30.01999702,  8.1955    ,  8.396     ]]), array([[30.01999702, 13.01549566,  8.396     ]]))
(array([[30.01999702, 19.44699566,  8.396     ]]), array([[30.01999702, 13.37699566,  8.396     ]]))
(array([[23.57999702, 19.44999566,  8.396     ]]), array([[23.57999702, 13.37999566,  8.396     ]]))
(array([[25.08749702,  8.10125   ,  8.477     ]]), array([[32.12749702,  8.10125   ,  8.477     ]]))
(array([[16.85 ,  8.1  ,  8.477]]), array([[23.48499702,  8.1       ,  8.477     ]]))
(array([[10.13249697,  7.9875    ,  8.22666667]]), array([[10.13249697,  3.4375    ,  8.22666667]]))
(array([[10.13249697,  3.015     ,  8.22666667]]), array([[10.13249697,  0.1       ,  8.22666667]]))
(array([[ 4.10090611, 31.58366946,  8.49890909]]), array([[10.80090611, 31.58366946,  8.49890909]]))
(array([[ 5.01999702, 24.59999565,  8.492     ]]), array([[12.10499702, 24.59999565,  8.492     ]]))
(array([[10.27499697, 16.59250298,  8.55666667]]), array([[12.13999702, 16.59250298,  8.55666667]]))
(array([[20.83501378, 35.92499565,  8.53      ]]), array([[20.83501378, 31.74995528,  8.53      ]]))
(array([[25.14749702, 16.19995528,  8.51      ]]), array([[32.10749702, 16.19995528,  8.51      ]]))
(array([[25.08749702, 13.19999566,  8.52      ]]), array([[32.12749702, 13.19999566,  8.52      ]]))
(array([[ 6.23199702, 12.67601776, 12.26366667]]), array([[ 6.23199702, 16.29601776, 12.26366667]]))
(array([[23.73499691, 13.35999566, 12.27666667]]), array([[30.57499702, 13.35999566, 12.27666667]]))
(array([[25.16749706,  8.125     , 12.27666667]]), array([[25.16749706, 13.17249566, 12.27666667]]))
(array([[16.79999702,  8.155     , 12.206     ]]), array([[16.79999702, 13.05499566, 12.206     ]]))
(array([[10.11999697,  8.2       , 12.27      ]]), array([[10.11999697, 10.01002217, 12.27      ]]))
(array([[23.65999691, 28.06999566, 14.9178    ]]), array([[11.91999691, 28.06999566, 14.9178    ]]))
(array([[16.79999702, 36.07499565,  8.53      ]]), array([[16.79999702, 31.74995528,  8.53      ]]))
(array([[ 5.99999702, 35.87499565,  8.53      ]]), array([[ 5.99999702, 31.81043087,  8.53      ]]))
(array([[23.65999691, 25.18999566, 14.9178    ]]), array([[11.91999691, 25.18999566, 14.9178    ]]))
(array([[23.65999691, 22.30999566, 14.9178    ]]), array([[11.91999691, 22.30999566, 14.9178    ]]))
(array([[23.65999691, 19.42999566, 14.9178    ]]), array([[11.91999691, 19.42999566, 14.9178    ]]))
(array([[23.65999691, 16.54999566, 14.9178    ]]), array([[11.91999691, 16.54999566, 14.9178    ]]))
(array([[25.08749702, 11.02999565,  8.52      ]]), array([[32.12749702, 11.02999565,  8.52      ]]))
(array([[ 5.01999702, 35.99249565,  8.477     ]]), array([[11.87999702, 35.99249565,  8.477     ]]))
(array([[12.05999702, 35.99249565,  8.477     ]]), array([[16.73999702, 35.99249565,  8.477     ]]))
(array([[16.89599702, 35.99249565,  8.477     ]]), array([[20.81101378, 35.99249565,  8.477     ]]))
(array([[ 4.97999702, 35.92499565,  8.53666667]]), array([[ 4.97999702, 31.66043087,  8.53666667]]))
(array([[ 4.97999702, 24.69547125,  8.53666667]]), array([[ 4.97999702, 31.54043087,  8.53666667]]))
(array([[ 4.97999702, 24.43047125,  8.53666667]]), array([[ 4.97999702, 16.525     ,  8.53666667]]))
(array([[10.22499697, 16.43752217, 12.27666667]]), array([[11.84499691, 16.43752217, 12.27666667]]))
(array([[10.29999849, 16.815     ,  3.79      ]]), array([[16.70499849, 16.815     ,  3.79      ]]))
(array([[20.77499702, 24.50499565,  3.86      ]]), array([[20.77499702, 19.60999565,  3.86      ]]))
(array([[20.77499702, 31.50447546,  3.86      ]]), array([[20.77499702, 24.69547546,  3.86      ]]))
(array([[20.77499702, 24.53947546,  8.58      ]]), array([[20.77499702, 19.18547546,  8.58      ]]))
(array([[20.77499702, 24.73495528,  8.58      ]]), array([[20.77499702, 31.52495528,  8.58      ]]))
(array([[30.60249702, 19.72499565,  8.55666667]]), array([[30.60249702, 16.27495528,  8.55666667]]))
(array([[12.26499851, 16.815     ,  8.58      ]]), array([[16.81999851, 16.815     ,  8.58      ]]))
(array([[16.94049851, 13.43249566,  8.58      ]]), array([[23.48449851, 13.43249566,  8.58      ]]))
(array([[23.78499702, 31.61245528, 12.27666667]]), array([[25.30499706, 31.61245528, 12.27666667]]))
(array([[30.60249702, 13.19999566,  8.55666667]]), array([[30.60249702, 11.02999565,  8.55666667]]))
(array([[30.60249702, 10.95499565,  8.55666667]]), array([[30.60249702,  8.125     ,  8.55666667]]))
(array([[30.60249702, 16.19995528,  8.55666667]]), array([[30.60249702, 13.19999566,  8.55666667]]))
(array([[ 4.97999691,  9.98951326, 12.5       ]]), array([[ 4.97999691,  8.17951326, 12.5       ]]))
(array([[30.59999691,  8.10294419, 12.28833444]]), array([[30.59999691, 10.53364965, 15.98833444]]))
(array([[10.20749691, 10.01732435, 14.132     ]]), array([[13.79249691, 10.01732435, 14.132     ]]))
(array([[ 4.97999691, 36.00000435, 15.925     ]]), array([[ 4.97999691, 36.00000435, 12.58      ]]))
(array([[ 3.26749691, 31.60000435, 14.2525    ]]), array([[ 6.69249691, 31.60000435, 14.2525    ]]))
(array([[ 5.99999691, 31.60000435, 15.925     ]]), array([[ 5.99999691, 31.60000435, 12.34      ]]))
(array([[10.20749691, 31.60000435, 14.1325    ]]), array([[13.79249691, 31.60000435, 14.1325    ]]))
(array([[23.57999691, 31.60000435, 15.9245    ]]), array([[23.57999691, 31.60000435, 12.3395    ]]))
(array([[28.92749691, 36.00000435, 14.2525    ]]), array([[32.27249691, 36.00000435, 14.2525    ]]))
(array([[ 5.05999691, 31.60000435, 16.005     ]]), array([[11.91999691, 31.60000435, 16.005     ]]))
(array([[ 4.89999691, 36.00000435, 12.5       ]]), array([[30.67999691, 36.00000435, 12.5       ]]))
(array([[30.67999691, 36.00000435, 16.005     ]]), array([[ 4.89999691, 36.00000435, 16.005     ]]))
(array([[ 5.00549696, 31.60000435, 12.2375    ]]), array([[11.84449696, 31.60000435, 12.2375    ]]))
(array([[30.59999691, 13.11812804, 12.45866094]]), array([[30.59999691, 15.42808363, 16.03800518]]))
(array([[30.59999691, 34.37345734, 12.20149767]]), array([[30.59999691, 36.17136974, 15.68149767]]))
(array([[16.79999691, 36.00000435, 15.925     ]]), array([[16.79999691, 36.00000435, 12.58      ]]))
(array([[25.70697691, 36.00000435, 14.2525    ]]), array([[29.06497691, 36.00000435, 14.2525    ]]))
(array([[23.31417223, 36.00000435, 14.2525    ]]), array([[26.65917223, 36.00000435, 14.2525    ]]))
(array([[ 5.76367691, 36.00000435, 14.2525    ]]), array([[ 9.10867691, 36.00000435, 14.2525    ]]))
(array([[ 5.02013191, 36.00000435, 14.40196   ]]), array([[ 7.39613191, 36.00000435, 14.40196   ]]))
(array([[ 4.81121593, 36.00000435, 14.51312338]]), array([[ 7.26689318, 36.00000435, 16.09116338]]))
(array([[ 8.18786691, 36.00000435, 14.2525    ]]), array([[11.61286691, 36.00000435, 14.2525    ]]))
(array([[ 9.78716691, 36.00000435, 14.2525    ]]), array([[13.21216691, 36.00000435, 14.2525    ]]))
(array([[ 7.43293615, 36.00000435, 14.40159112]]), array([[ 9.89693002, 36.00000435, 15.97963112]]))
(array([[ 9.90051691, 36.00000435, 13.91032   ]]), array([[11.49951691, 36.00000435, 13.91032   ]]))
(array([[ 7.4481497 , 36.00000435, 12.50917345]]), array([[ 9.9120731 , 36.00000435, 13.91949345]]))
(array([[ 9.90057624, 36.00000435, 12.5       ]]), array([[11.49945757, 36.00000435, 13.91032   ]]))
(array([[12.43749691, 36.00000435, 14.2525    ]]), array([[15.86249691, 36.00000435, 14.2525    ]]))
(array([[21.59999691, 36.00000435, 15.925     ]]), array([[21.59999691, 36.00000435, 12.58      ]]))
(array([[28.85999691, 34.20000435, 14.2525    ]]), array([[32.33999691, 34.20000435, 14.2525    ]]))
